[Decode Mode] Current Length of sequences is modified into input_len
Using synthesis trace
ACT: 0.844055GB, Weight: 7.47876GB, Cache: 16.1406GB
Total: 24.4634GB
-----------------------------------
-------------start-----------------
-----------------------------------
Total: 2768942.208000
./data/exp3_2bit_gpu//llama3_8B_synthesis_16400_128_GPU_N1_D4_TP1_DP4_maxbatch64_maxprocess524288_iter1_skew0_precision_byte1_parallel_execution0_ramul_decode.csv
LLM | 2768.9us  | 0 - 2768.9 | tensor(1, 128256) -> tensor(16, 128256) | ACT: 21.103mJ  | RD: 435.97mJ  | WR: 0.8175mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 67.28mJ  | Total: 457.89mJ | compute util: 0, memory util: 0, Op/B 18.329 | qk=1545.9us softmax=0us score_v=0us kv_quant=0us
		post_attn_layer_norm | 0.016896us  | 56.115 - 56.132 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		feedforward | 30.373us  | 56.132 - 86.505 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.22526mJ  | RD: 4.9278mJ  | WR: 0.020985mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 1.2965mJ  | Total: 5.174mJ | compute util: 0, memory util: 0, Op/B 31.717
			gate_proj | 10.134us  | 56.132 - 66.266 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.134us  | 56.132 - 66.266 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0.052977, memory util: 0.72794, Op/B 31.84, GPU
			activation | 0.134us  | 66.266 - 66.4 | tensor(16, 14336) -> tensor(16, 14336) | ACT: 0mJ  | RD: 0.012773mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0.01916mJ | compute util: 0, memory util: 0.64191, Op/B 0, GPU
			up_proj | 10.134us  | 66.4 - 76.534 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.134us  | 66.4 - 76.534 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0.052977, memory util: 0.72794, Op/B 31.84, GPU
			down_proj | 9.9705us  | 76.534 - 86.505 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.070742mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7139mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 9.9705us  | 76.534 - 86.505 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.070742mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7139mJ | compute util: 0.053846, memory util: 0.73987, Op/B 31.84, GPU
		all_reduce | 0us  | 86.505 - 86.505 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 86.505 - 86.529 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
